"pathway_name","ligand","receptor"
"TGFb","TGFB1","TGFbR1_R2"
"TGFb","TGFB2","TGFbR1_R2"
"TGFb","TGFB3","TGFbR1_R2"
"TGFb","TGFB1","ACVR1B_TGFbR2"
"TGFb","TGFB1","ACVR1C_TGFbR2"
"TGFb","TGFB2","ACVR1B_TGFbR2"
"TGFb","TGFB2","ACVR1C_TGFbR2"
"TGFb","TGFB3","ACVR1B_TGFbR2"
"TGFb","TGFB3","ACVR1C_TGFbR2"
"TGFb","TGFB1","ACVR1_TGFbR"
"TGFb","TGFB2","ACVR1_TGFbR"
"TGFb","TGFB3","ACVR1_TGFbR"
"BMP","BMP2","BMPR1A_ACVR2A"
"BMP","BMP2","BMPR1A_ACVR2B"
"BMP","BMP2","BMPR1A_BMPR2"
"BMP","BMP2","BMPR1B_ACVR2A"
"BMP","BMP2","BMPR1B_ACVR2B"
"BMP","BMP2","BMPR1B_BMPR2"
"BMP","BMP4","BMPR1A_ACVR2A"
"BMP","BMP4","BMPR1A_ACVR2B"
"BMP","BMP4","BMPR1A_BMPR2"
"BMP","BMP4","BMPR1B_ACVR2A"
"BMP","BMP4","BMPR1B_ACVR2B"
"BMP","BMP4","BMPR1B_BMPR2"
"BMP","GDF5","BMPR1A_ACVR2A"
"BMP","GDF5","BMPR1A_ACVR2B"
"BMP","GDF5","BMPR1A_BMPR2"
"BMP","GDF5","BMPR1B_ACVR2A"
"BMP","GDF5","BMPR1B_ACVR2B"
"BMP","GDF5","BMPR1B_BMPR2"
"BMP","GDF6","BMPR1A_ACVR2A"
"BMP","GDF6","BMPR1A_ACVR2B"
"BMP","GDF6","BMPR1A_BMPR2"
"BMP","GDF6","BMPR1B_ACVR2A"
"BMP","GDF6","BMPR1B_ACVR2B"
"BMP","GDF6","BMPR1B_BMPR2"
"BMP","GDF7","BMPR1A_ACVR2A"
"BMP","GDF7","BMPR1A_ACVR2B"
"BMP","GDF7","BMPR1A_BMPR2"
"BMP","GDF7","BMPR1B_ACVR2A"
"BMP","GDF7","BMPR1B_ACVR2B"
"BMP","GDF7","BMPR1B_BMPR2"
"BMP","BMP15","BMPR1B_BMPR2"
