"pathway_name","ligand","receptor"
"TGFb","Tgfb1","TGFbR1_R2"
"TGFb","Tgfb2","TGFbR1_R2"
"TGFb","Tgfb3","TGFbR1_R2"
"TGFb","Tgfb1","ACVR1B_TGFbR2"
"TGFb","Tgfb1","ACVR1C_TGFbR2"
"TGFb","Tgfb2","ACVR1B_TGFbR2"
"TGFb","Tgfb2","ACVR1C_TGFbR2"
"TGFb","Tgfb3","ACVR1B_TGFbR2"
"TGFb","Tgfb3","ACVR1C_TGFbR2"
"TGFb","Tgfb1","ACVR1_TGFbR"
"TGFb","Tgfb2","ACVR1_TGFbR"
"TGFb","Tgfb3","ACVR1_TGFbR"
"BMP","Bmp2","BMPR1A_ACVR2A"
"BMP","Bmp2","BMPR1A_ACVR2B"
"BMP","Bmp2","BMPR1A_BMPR2"
"BMP","Bmp2","BMPR1B_ACVR2A"
"BMP","Bmp2","BMPR1B_ACVR2B"
"BMP","Bmp2","BMPR1B_BMPR2"
"BMP","Bmp4","BMPR1A_ACVR2A"
"BMP","Bmp4","BMPR1A_ACVR2B"
"BMP","Bmp4","BMPR1A_BMPR2"
"BMP","Bmp4","BMPR1B_ACVR2A"
"BMP","Bmp4","BMPR1B_ACVR2B"
"BMP","Bmp4","BMPR1B_BMPR2"
"BMP","Gdf5","BMPR1A_ACVR2A"
"BMP","Gdf5","BMPR1A_ACVR2B"
"BMP","Gdf5","BMPR1A_BMPR2"
"BMP","Gdf5","BMPR1B_ACVR2A"
"BMP","Gdf5","BMPR1B_ACVR2B"
"BMP","Gdf5","BMPR1B_BMPR2"
"BMP","Gdf6","BMPR1A_ACVR2A"
"BMP","Gdf6","BMPR1A_ACVR2B"
"BMP","Gdf6","BMPR1A_BMPR2"
"BMP","Gdf6","BMPR1B_ACVR2A"
"BMP","Gdf6","BMPR1B_ACVR2B"
"BMP","Gdf6","BMPR1B_BMPR2"
"BMP","Gdf7","BMPR1A_ACVR2A"
"BMP","Gdf7","BMPR1A_ACVR2B"
"BMP","Gdf7","BMPR1A_BMPR2"
"BMP","Gdf7","BMPR1B_ACVR2A"
"BMP","Gdf7","BMPR1B_ACVR2B"
