"ligand","receptor"
"2300002M23Rik","Ddr1"
"2610528A11Rik","Gpr15"
"9530003J23Rik","Itgal"
"a","Atrn"
"a","F11r"
"a","Mc1r"
"a","Mc2r"
"a","Mc3r"
"a","Mc4r"
"a","Mc5r"
"a","Mgrn1"
"A2m","Klk1b22"
"A2m","Klk1b9"
"A2m","Klk1"
"A2m","Klk1b11"
"A2m","Klk1b16"
"A2m","Klk1b21"
"A2m","Klk1b24"
"A2m","Klk1b26"
"A2m","Klk1b27"
"A2m","Klk1b5"
"A2m","Klk1b1"
"A2m","Klk1b8"
"A2m","Klk1b4"
"A2m","Klk1b3"
"A2m","Lrp1"
"A2m","Mmp2"
"A2m","Mmp9"
"Aanat","Mtnr1a"
"Aanat","Mtnr1b"
"Abca1","Apoa1"
"Abca1","Megf10"
"Ace","Agtr2"
"Ace","Bdkrb2"
"Ace2","Slc6a19"
"Ace2","Tigit"
"Ace2","Tnfrsf11a"
"Ace2","Tnfrsf11b"
"Acp4","Erbb4"
"Acp4","Vstm2b"
"Adam10","App"
"Adam10","Axl"
"Adam10","Cd44"
"Adam10","Epha3"
"Adam10","Notch1"
"Adam10","Notch2"
"Adam10","Notch3"
"Adam10","Notch4"
"Adam10","Tspan10"
"Adam10","Tspan14"
"Adam10","Tspan15"
"Adam10","Tspan17"
"Adam10","Tspan33"
"Adam10","Tspan5"
"Adam11","Ccr4"
"Adam11","Itga4"
"Adam12","Itga9"
"Adam12","Itgb1"
"Adam12","Sdc4"
"Adam15","Itga5"
"Adam15","Itga9"
"Adam15","Itgb1"
"Adam15","Itgb3"
"Adam17","Erbb4"
"Adam17","Il6ra"
"Adam17","Itga5"
"Adam17","Itgb1"
"Adam17","Muc1"
"Adam17","Notch1"
"Adam17","Notch2"
"Adam17","Notch3"
"Adam17","Notch4"
"Adam2","Cd9"
"Adam2","Itga6"
"Adam2","Itga9"
"Adam2","Itgb1"
"Adam2","Itgb7"
"Adam20","Il1rapl1"
"Adam20","Il1rapl2"
"Adam21","Clec12b"
"Adam21","Flt4"
"Adam21","Igsf21"
"Adam23","Itga5"
"Adam23","Itgb3"
"Adam25","Il1rapl1"
"Adam25","Il1rapl2"
"Adam28","Itga4"
"Adam29","Itga4"
"Adam39","Il1rapl1"
"Adam39","Il1rapl2"
"Adam7","Itga4"
"Adam7","Itgb7"
"Adam9","Itga6"
"Adam9","Itgav"
"Adam9","Itgb1"
"Adam9","Itgb5"
"Adamts3","Ccbe1"
"Adcyap1","Adcyap1r1"
"Adcyap1","Sctr"
"Adcyap1","Vipr1"
"Adcyap1","Vipr2"
"Adgrb1","Rtn4r"
"Adgre5","Cd55"
"Adgre5","Cd55b"
"Adgrf5","Treml2"
"Adipoq","Adipor1"
"Adipoq","Adipor2"
"Adipoq","Cnr2"
"Adipoq","Ffar3"
"Adm","Calcr"
"Adm","Calcrl"
"Adm","Gpr182"
"Adm","Mrgprx2"
"Adm","Mrgpra1"
"Adm","Mrgpra2b"
"Adm","Mrgpra9"
"Adm","Mrgpra2a"
"Adm","Mrgprx1"
"Adm","Mrgprb4"
"Adm","Mrgprb5"
"Adm","Mrgprb2"
"Adm","Mrgpra4"
"Adm","Mrgpra6"
"Adm","Mrgprx2"
"Adm","Mrgprb8"
"Adm","Mrgpra3"
"Adm","Mrgprb3"
"Adm","Mrgprb1"
"Adm","Ramp1"
"Adm","Ramp2"
"Adm","Ramp3"
"Adm2","Adcyap1r1"
"Adm2","Adrb2"
"Adm2","Adrb3"
"Adm2","Calcr"
"Adm2","Calcrl"
"Adm2","Gpr20"
"Adm2","Gpr84"
"Adm2","Pth1r"
"Adm2","Ramp1"
"Adm2","Ramp2"
"Adm2","Ramp3"
"Adm2","Tshr"
"Adm2","Vipr1"
"Agrn","Atp1a3"
"Agrn","Chrnb3"
"Agrn","Dag1"
"Agrn","Itgb1"
"Agrn","Lrp1"
"Agrn","Lrp2"
"Agrn","Lrp4"
"Agrn","Musk"
"Agrp","Mc3r"
"Agrp","Mc4r"
"Agrp","Mc5r"
"Agrp","Sdc3"
"Agt","Agtr1a"
"Agt","Agtr1b"
"Agt","Agtr2"
"Agt","Lrp2"
"Agt","Mas1"
"Agt","Ren1"
"Ahsg","Insr"
"Aimp1","Ntrk1"
"Alb","Lrp2"
"Alcam","Alcam"
"Alcam","Cd6"
"Alcam","Chl1"
"Alcam","Nrp1"
